Year;NA_Sales;Global_Sales
2006;4149;8274
1985;2908;4024
2008;1585;3582
2009;1575;3300
1996;1127;3137
1989;2320;3026
2006;1138;3001
2006;1403;2902
2009;1459;2862
1984;2693;2831
2005;907;2476
2005;981;2342
1999;900;2310
2007;894;2272
2009;909;2200
2010;1497;2182
2013;701;2140
2004;943;2081
1990;1278;2061
2005;475;2022
2006;642;1836
1989;1083;1814
1988;954;1728
2013;963;1638
2002;841;1615
2002;606;1585
2010;557;1532
2005;344;1530
2001;685;1498
2011;903;1476
1998;589;1464
2010;967;1464
2013;517;1435
2015;577;1424
2012;499;1403
2012;825;1373
2009;852;1351
2011;554;1346
2001;699;1310
2008;675;1304
2010;598;1273
2005;255;1227
2011;474;1221
2007;797;1214
2014;380;1198
2009;440;1190
1996;691;1189
2004;301;1166
2007;616;1152
2014;423;1133
1992;616;1118
2008;676;1102
1997;402;1095
2011;489;1079
2010;296;1077
2009;499;1069
2008;476;1057
1993;599;1055
2004;434;1049
2004;508;1042
2011;605;1026
2013;672;1021
2010;703;988
1996;555;987
2012;366;982
2012;663;976
1997;301;972
2013;409;959
2010;584;952
1999;388;949
2007;591;932
1994;436;930
2013;558;920
2012;201;909
2007;446;902
2011;503;884
1992;354;876
2015;111;849
2010;179;849
2004;682;849
2007;381;842
2012;291;833
2012;106;824
2009;98;811
1997;580;809
2007;258;806
2001;291;805
1999;228;786
2008;282;784
1982;728;781
2005;290;772
2010;366;769
2015;293;767
2014;280;760
1998;410;760
1997;378;758
1988;539;746
2014;324;745
2008;479;737
2011;446;734
2006;383;731
2015;452;730
2009;351;727
2011;285;723
2003;327;720
1998;327;716
1998;368;713
2001;441;707
2014;313;696
2015;247;696
2003;412;695
2012;414;691
2013;78;690
2004;271;690
2002;293;683
2011;277;683
1996;323;682
2010;350;681
2008;415;676
2009;327;673
2007;310;672
2011;84;669
2005;167;667
2010;279;660
2014;79;659
2010;325;659
2011;255;656
1986;374;651
2012;264;650
2001;498;643
2004;257;641
2002;364;640
2000;255;639
2009;434;636
2010;370;634
2002;401;631
1992;247;630
2004;7;628
1999;311;627
2010;392;624
2011;405;624
2006;354;611
2001;245;605
1992;447;603
2008;263;603
1998;318;603
2013;241;599
2006;188;595
2008;280;592
2009;66;584
2007;366;583
1998;188;582
1996;226;574
2006;313;572
2014;249;565
1988;297;558
2009;254;557
1999;295;555
2007;328;555
2011;270;553
2009;299;551
2008;47;550
2001;314;549
2001;262;547
2001;321;546
1999;318;545
2008;272;543
2001;207;542
2014;197;542
2009;174;536
1989;218;534
1999;302;531
2012;313;530
2000;162;530
2003;192;529
1999;333;527
2009;310;527
2007;122;526
1997;230;524
2004;65;521
2012;243;520
2003;293;520
2012;232;519
1994;249;519
2012;108;518
2007;190;517
1995;210;515
2013;96;515
2008;164;514
2003;198;513
1992;271;513
2010;359;513
2014;321;513
1996;322;512
2006;381;512
2009;196;511
2014;266;508
2006;170;508
2010;60;508
1999;340;507
1996;205;505
1999;342;502
2014;259;502
1999;279;501
1998;336;500
2007;306;500
2007;349;498
2008;339;496
2007;185;496
2007;231;494
2005;398;491
2007;289;490
1997;291;488
2010;0;487
1990;262;485
2010;274;484
2010;256;483
2007;191;483
2014;57;482
1999;257;479
2016;28;477
2011;299;476
2000;236;473
2003;173;470
2000;305;468
2008;187;468
2002;194;467
2011;208;464
1996;229;463
2007;306;462
1991;242;461
2002;260;460
2009;189;458
2013;178;458
2015;155;457
2014;178;455
2007;319;453
2004;418;453
1981;421;450
2006;363;449
2002;271;448
2000;20;447
2015;196;447
2014;154;445
2005;271;445
2012;255;444
2010;267;442
2001;266;441
2006;10;439
2006;282;439
1987;219;438
2005;203;437
2006;173;435
1991;303;434
2005;220;433
2013;92;431
2014;275;431
1980;400;431
2008;251;431
2015;264;426
2013;211;425
2009;223;425
2011;141;424
2001;300;424
2004;146;423
2006;245;422
1995;170;421
2011;203;421
2005;78;421
2003;88;420
2016;130;420
2007;128;420
2011;225;419
2009;202;419
2011;84;419
1989;338;417
1984;204;416
1997;379;416
2002;336;414
2014;140;414
1997;403;412
1995;165;412
2006;71;411
2011;214;410
1992;142;410
2007;213;410
2015;245;409
2007;257;409
