Platform;Year;Global_Sales
Wii;2006;82.74
NES;1985;40.24
Wii;2008;35.82
Wii;2009;33
GB;1996;31.37
GB;1989;30.26
DS;2006;30.01
Wii;2006;29.02
Wii;2009;28.62
NES;1984;28.31
DS;2005;24.76
DS;2005;23.42
GB;1999;23.1
Wii;2007;22.72
Wii;2009;22
X360;2010;21.82
PS3;2013;21.4
PS2;2004;20.81
SNES;1990;20.61
DS;2005;20.22
DS;2006;18.36
GB;1989;18.14
NES;1988;17.28
X360;2013;16.38
PS2;2002;16.15
GBA;2002;15.85
DS;2010;15.32
DS;2005;15.3
PS2;2001;14.98
X360;2011;14.76
GB;1998;14.64
X360;2010;14.64
3DS;2013;14.35
PS4;2015;14.24
PS3;2012;14.03
X360;2012;13.73
X360;2009;13.51
PS3;2011;13.46
PS2;2001;13.1
Wii;2008;13.04
PS3;2010;12.73
DS;2005;12.27
3DS;2011;12.21
X360;2007;12.14
PS4;2014;11.98
DS;2009;11.9
N64;1996;11.89
PS2;2004;11.66
Wii;2007;11.52
3DS;2014;11.33
GB;1992;11.18
X360;2008;11.02
PS;1997;10.95
3DS;2011;10.79
PS3;2010;10.77
PS3;2009;10.69
PS3;2008;10.57
SNES;1993;10.55
GBA;2004;10.49
DS;2004;10.42
Wii;2011;10.26
X360;2013;10.21
X360;2010;9.88
N64;1996;9.87
3DS;2012;9.82
X360;2012;9.76
PS;1997;9.72
PS3;2013;9.59
Wii;2010;9.52
PS;1999;9.49
X360;2007;9.32
SNES;1994;9.3
X360;2013;9.2
3DS;2012;9.09
DS;2007;9.02
X360;2011;8.84
SNES;1992;8.76
PS4;2015;8.49
Wii;2010;8.49
XB;2004;8.49
Wii;2007;8.42
DS;2012;8.33
PS3;2012;8.24
PC;2009;8.11
N64;1997;8.09
Wii;2007;8.06
PS2;2001;8.05
PS;1999;7.86
DS;2008;7.84
2600;1982;7.81
PSP;2005;7.72
Wii;2010;7.69
PS4;2015;7.67
PS4;2014;7.6
N64;1998;7.6
PS;1997;7.58
NES;1988;7.46
3DS;2014;7.45
X360;2008;7.37
X360;2011;7.34
Wii;2006;7.31
XOne;2015;7.3
Wii;2009;7.27
PS3;2011;7.23
PS2;2003;7.2
PS;1998;7.16
PS;1998;7.13
GC;2001;7.07
WiiU;2014;6.96
PS4;2015;6.96
GC;2003;6.95
Wii;2012;6.91
PS3;2013;6.9
PS2;2004;6.9
PS2;2002;6.83
PS3;2011;6.83
PS;1996;6.82
Wii;2010;6.81
X360;2008;6.76
PS3;2009;6.73
PS3;2007;6.72
PS3;2011;6.69
DS;2005;6.67
PS3;2010;6.6
PS4;2014;6.59
Wii;2010;6.59
PS3;2011;6.56
NES;1986;6.51
PS3;2012;6.5
XB;2001;6.43
GBA;2004;6.41
PS2;2002;6.4
GB;2000;6.39
X360;2009;6.36
X360;2010;6.34
GC;2002;6.31
SNES;1992;6.3
PC;2004;6.28
PS;1999;6.27
X360;2010;6.24
X360;2011;6.24
X360;2006;6.11
PS2;2001;6.05
