Year;NA_Sales;Global_Sales
2006;41.49;82.74
1985;29.08;40.24
2008;15.85;35.82
2009;15.75;33
1996;11.27;31.37
1989;23.2;30.26
2006;11.38;30.01
2006;14.03;29.02
2009;14.59;28.62
1984;26.93;28.31
2005;9.07;24.76
2005;9.81;23.42
1999;9;23.1
2007;8.94;22.72
2009;9.09;22
2010;14.97;21.82
2013;7.01;21.4
2004;9.43;20.81
1990;12.78;20.61
2005;4.75;20.22
2006;6.42;18.36
1989;10.83;18.14
1988;9.54;17.28
2013;9.63;16.38
2002;8.41;16.15
2002;6.06;15.85
2010;5.57;15.32
2005;3.44;15.3
2001;6.85;14.98
2011;9.03;14.76
1998;5.89;14.64
2010;9.67;14.64
2013;5.17;14.35
2015;5.77;14.24
2012;4.99;14.03
2012;8.25;13.73
2009;8.52;13.51
2011;5.54;13.46
2001;6.99;13.1
2008;6.75;13.04
2010;5.98;12.73
2005;2.55;12.27
2011;4.74;12.21
2007;7.97;12.14
2014;3.8;11.98
2009;4.4;11.9
1996;6.91;11.89
2004;3.01;11.66
2007;6.16;11.52
2014;4.23;11.33
1992;6.16;11.18
2008;6.76;11.02
1997;4.02;10.95
2011;4.89;10.79
2010;2.96;10.77
2009;4.99;10.69
2008;4.76;10.57
1993;5.99;10.55
2004;4.34;10.49
2004;5.08;10.42
2011;6.05;10.26
2013;6.72;10.21
2010;7.03;9.88
1996;5.55;9.87
2012;3.66;9.82
2012;6.63;9.76
1997;3.01;9.72
2013;4.09;9.59
2010;5.84;9.52
1999;3.88;9.49
2007;5.91;9.32
1994;4.36;9.3
2013;5.58;9.2
2012;2.01;9.09
2007;4.46;9.02
2011;5.03;8.84
1992;3.54;8.76
2015;1.11;8.49
2010;1.79;8.49
2004;6.82;8.49
2007;3.81;8.42
2012;2.91;8.33
2012;1.06;8.24
2009;0.98;8.11
1997;5.8;8.09
2007;2.58;8.06
2001;2.91;8.05
1999;2.28;7.86
2008;2.82;7.84
1982;7.28;7.81
2005;2.9;7.72
2010;3.66;7.69
2015;2.93;7.67
2014;2.8;7.6
1998;4.1;7.6
1997;3.78;7.58
1988;5.39;7.46
2014;3.24;7.45
2008;4.79;7.37
2011;4.46;7.34
2006;3.83;7.31
2015;4.52;7.3
2009;3.51;7.27
2011;2.85;7.23
2003;3.27;7.2
1998;3.27;7.16
1998;3.68;7.13
2001;4.41;7.07
2014;3.13;6.96
2015;2.47;6.96
2003;4.12;6.95
2012;4.14;6.91
2013;0.78;6.9
2004;2.71;6.9
2002;2.93;6.83
2011;2.77;6.83
1996;3.23;6.82
2010;3.5;6.81
2008;4.15;6.76
2009;3.27;6.73
2007;3.1;6.72
2011;0.84;6.69
2005;1.67;6.67
2010;2.79;6.6
2014;0.79;6.59
2010;3.25;6.59
2011;2.55;6.56
1986;3.74;6.51
2012;2.64;6.5
2001;4.98;6.43
2004;2.57;6.41
2002;3.64;6.4
2000;2.55;6.39
2009;4.34;6.36
2010;3.7;6.34
2002;4.01;6.31
1992;2.47;6.3
2004;0.07;6.28
1999;3.11;6.27
2010;3.92;6.24
2011;4.05;6.24
2006;3.54;6.11
2001;2.45;6.05
1992;4.47;6.03
2008;2.63;6.03
1998;3.18;6.03
2013;2.41;5.99
2006;1.88;5.95
2008;2.8;5.92
2009;0.66;5.84
2007;3.66;5.83
1998;1.88;5.82
1996;2.26;5.74
2006;3.13;5.72
2014;2.49;5.65
1988;2.97;5.58
2009;2.54;5.57
1999;2.95;5.55
2007;3.28;5.55
2011;2.7;5.53
2009;2.99;5.51
2008;0.47;5.5
2001;3.14;5.49
2001;2.62;5.47
2001;3.21;5.46
1999;3.18;5.45
2008;2.72;5.43
2001;2.07;5.42
2014;1.97;5.42
2009;1.74;5.36
1989;2.18;5.34
1999;3.02;5.31
2012;3.13;5.3
2000;1.62;5.3
2003;1.92;5.29
1999;3.33;5.27
2009;3.1;5.27
2007;1.22;5.26
1997;2.3;5.24
2004;0.65;5.21
2012;2.43;5.2
2003;2.93;5.2
2012;2.32;5.19
1994;2.49;5.19
2012;1.08;5.18
2007;1.9;5.17
1995;2.1;5.15
2013;0.96;5.15
2008;1.64;5.14
2003;1.98;5.13
1992;2.71;5.13
